keyword_id,keyword
1,bank account
2,bank statement
3,budget
4,car
5,card
6,chargeback
7,compound interest
8,consolidation loan
9,credit
10,credit score
11,cryptocurrency
12,current account
13,debt
14,emergency fund
15,financial literacy
16,house
17,income
18,inflation
19,inheritance tax
20,insurance
21,Interest
22,invest
23,life insurance
24,line of credit
25,live
26,minimum balance
27,mortgage
28,mutual funds
29,overdraft
30,pension
31,premium bonds
32,retirement
33,savings account
34,spending
35,stock
36,stocks and shares
37,student loans
38,transaction